sigma,pi_reward,base_opp,seed,final_fund_prevalence,final_exit_rate,max_punish,top5_punishment_share,top10_punishment_share,enforcer_punish_share,regime_hier,condition
0.95,0.5,0.3,16,0.1458333333333333,0.4514285714285714,0.0942857142857142,0.8762013729977117,0.9759725400457666,0.7913043478260869,QUIET,off
0.95,0.5,0.3,17,0.1467391304347826,0.4742857142857143,0.1057142857142857,0.8536949489922866,0.972132371236626,0.7474496143319234,MIXED,off
0.95,0.5,0.3,18,0.13,0.4285714285714285,0.1285714285714285,0.8626406157489639,0.9713834616143675,0.8069863824748372,MIXED,off
0.95,0.5,0.3,19,0.1546391752577319,0.4457142857142857,0.1142857142857142,0.8513712047012733,0.9610675808031341,0.7842801175318316,MIXED,off
0.95,0.5,0.3,20,0.1458333333333333,0.4514285714285714,0.1085714285714285,0.8602460088981941,0.966762627584402,0.7647212771525779,MIXED,off
0.95,0.5,0.3,21,0.1526315789473684,0.4571428571428571,0.1142857142857142,0.8652597402597403,0.9697646103896104,0.7859172077922078,MIXED,off
0.95,0.5,0.3,22,0.1373626373626373,0.48,0.1085714285714285,0.868922305764411,0.9744360902255639,0.8025062656641604,MIXED,off
0.95,0.5,0.3,23,0.1275510204081632,0.44,0.1142857142857142,0.8853339560952825,0.9759458197104157,0.8376926669780477,MIXED,off
0.95,0.5,0.3,24,0.1538461538461538,0.5171428571428571,0.12,0.8469119579500657,0.9713096802452913,0.7330267192290846,MIXED,off
0.95,0.5,0.3,25,0.1363636363636363,0.4342857142857143,0.1057142857142857,0.8662958843159065,0.9655172413793104,0.8095661846496107,MIXED,off
0.95,0.5,0.3,26,0.1337209302325581,0.5085714285714286,0.1114285714285714,0.8954196028187059,0.983824471492633,0.8102178090967329,MIXED,off
0.95,0.5,0.3,27,0.1624365482233502,0.4371428571428571,0.12,0.838692098092643,0.9667574931880109,0.7659400544959128,MIXED,off
0.95,0.5,0.3,28,0.1286549707602339,0.5114285714285715,0.1114285714285714,0.8823400043985045,0.9698702441170002,0.7873323070156147,MIXED,off
