seed,sigma,pi_reward,delta_outside_degrade,eta_delta_drift,exit_opportunity_base,final_exit_rate,final_active_punish,final_enforcer_share,final_q_above_threshold,final_fund_prevalence,final_enforcement_pressure,regime_overt,regime_acquiescence_aware,mislabeled_fear_capture,config
1,0.75,0.0510324036529687,0.25,0.12,0.15,0.0885714285714285,0.1473354231974921,1.0,0.9905956112852664,0.0815047021943573,0.9918632875070016,CAPTURE,CAPTURE,False,P1S1A1
2,0.75,0.0510324036529687,0.25,0.12,0.15,0.0914285714285714,0.1415094339622641,0.9833333333333332,0.9905660377358492,0.0849056603773584,0.9917230331078676,CAPTURE,CAPTURE,False,P1S1A1
3,0.75,0.0510324036529687,0.25,0.12,0.15,0.1885714285714285,0.1443661971830986,0.9824561403508772,0.98943661971831,0.0845070422535211,0.9909988097599682,CAPTURE,CAPTURE,False,P1S1A1
4,0.75,0.0510324036529687,0.25,0.12,0.15,0.0942857142857142,0.1324921135646687,1.0,0.996845425867508,0.085173501577287,0.9972633820617182,CAPTURE,CAPTURE,False,P1S1A1
5,0.75,0.0510324036529687,0.25,0.12,0.15,0.0685714285714285,0.1533742331288343,0.9861111111111112,0.9877300613496932,0.0797546012269938,0.9898001430238248,CAPTURE,CAPTURE,False,P1S1A1
1,0.75,0.0510324036529687,0.25,0.12,0.35,0.0828571428571428,0.1401869158878504,0.9836065573770492,0.9470404984423676,0.0809968847352024,0.95528964198717,CAPTURE,CAPTURE,False,P1S1A1
2,0.75,0.0510324036529687,0.25,0.12,0.35,0.1228571428571428,0.1237785016286645,1.0,0.9609120521172638,0.0846905537459283,0.9654956551263144,CAPTURE,CAPTURE,False,P1S1A1
3,0.75,0.0510324036529687,0.25,0.12,0.35,0.14,0.1528239202657807,1.0,0.9534883720930232,0.0797342192691029,0.9599783666846944,CAPTURE,CAPTURE,False,P1S1A1
4,0.75,0.0510324036529687,0.25,0.12,0.35,0.1571428571428571,0.135593220338983,1.0,0.9593220338983052,0.0813559322033898,0.965527147371445,CAPTURE,CAPTURE,False,P1S1A1
5,0.75,0.0510324036529687,0.25,0.12,0.35,0.0971428571428571,0.1392405063291139,0.9818181818181818,0.9556962025316456,0.0791139240506329,0.9615846819419964,CAPTURE,CAPTURE,False,P1S1A1
1,0.75,0.0510324036529687,0.25,0.12,0.6,0.1057142857142857,0.134185303514377,1.0,0.9073482428115016,0.0798722044728434,0.9188518817176862,CAPTURE,CAPTURE,False,P1S1A1
2,0.75,0.0510324036529687,0.25,0.12,0.6,0.2228571428571428,0.1066176470588235,1.0,0.8860294117647058,0.0808823529411764,0.8994377162629758,MIXED,MIXED,False,P1S1A1
3,0.75,0.0510324036529687,0.25,0.12,0.6,0.1228571428571428,0.1498371335504886,1.0,0.8892508143322475,0.0814332247557003,0.9044021687232756,CAPTURE,CAPTURE,False,P1S1A1
4,0.75,0.0510324036529687,0.25,0.12,0.6,0.2314285714285714,0.1189591078066914,1.0,0.8884758364312267,0.0855018587360594,0.9018117494230318,MIXED,MIXED,False,P1S1A1
5,0.75,0.0510324036529687,0.25,0.12,0.6,0.06,0.1367781155015197,0.9830508474576272,0.8996960486322189,0.0790273556231003,0.9131105588455392,CAPTURE,CAPTURE,False,P1S1A1
1,0.75,0.2510324036529688,0.25,0.12,0.15,0.0285714285714285,0.1588235294117647,0.9857142857142858,0.9941176470588236,0.0970588235294117,0.9950865051903114,CAPTURE,CAPTURE,False,P1S1A1
2,0.75,0.2510324036529688,0.25,0.12,0.15,0.0257142857142857,0.1612903225806451,0.9855072463768116,0.997067448680352,0.0997067448680351,0.9975490406859246,CAPTURE,CAPTURE,False,P1S1A1
3,0.75,0.2510324036529688,0.25,0.12,0.15,0.0542857142857142,0.1691842900302115,0.984375,0.9879154078549848,0.1087613293051359,0.9897773842882048,CAPTURE,CAPTURE,False,P1S1A1
