sigma,pi_reward,alpha,delta,n_seeds,regime_majority,n_collapse,n_capture,n_mixed,n_quiet,median_fund_prevalence,median_exit_rate,median_top5_share,median_max_punish,median_enforcer_punish_share
0.95,0.05,0.2,0.4,5,MIXED,0,0,5,0,0.0912698412698412,0.2914285714285714,0.8013940436317553,0.1228571428571428,0.9731418033016729
0.95,0.25,0.2,0.4,5,MIXED,0,0,5,0,0.1309523809523809,0.28,0.7707360070515645,0.1314285714285714,0.9731853337670908
0.95,0.5,0.2,0.4,5,MIXED,0,0,5,0,0.1264822134387351,0.2771428571428571,0.7543090638930163,0.1342857142857142,0.9758501471764884
0.25,0.05,0.2,0.6,5,QUIET,0,0,0,5,0.0,0.0371428571428571,0.6733254994124559,0.0485714285714285,0.6870213018688629
0.25,0.25,0.2,0.6,5,MIXED,0,0,5,0,0.1034482758620689,0.3857142857142857,0.8332915308084609,0.1371428571428571,0.9666618360001469
0.25,0.5,0.2,0.6,5,MIXED,0,0,5,0,0.1262135922330097,0.4085714285714286,0.8299304121740461,0.1771428571428571,0.9410279109826325
0.75,0.05,0.2,0.6,5,MIXED,0,0,5,0,0.0878661087866108,0.3171428571428571,0.8310780333784393,0.14,0.9732329717896341
0.75,0.25,0.2,0.6,5,MIXED,0,0,5,0,0.1306122448979592,0.3371428571428571,0.796308815575987,0.1628571428571428,0.9759929006146437
0.75,0.5,0.2,0.6,5,MIXED,0,0,5,0,0.1428571428571428,0.3314285714285714,0.7914438502673797,0.1771428571428571,0.9733768039956733
0.95,0.05,0.2,0.6,5,MIXED,0,0,5,0,0.0873015873015873,0.2542857142857143,0.7855771867288182,0.14,0.980004276418791
0.95,0.25,0.2,0.6,5,MIXED,0,0,5,0,0.1254752851711026,0.2485714285714285,0.7496765847347995,0.1485714285714285,0.9756594513844276
0.95,0.5,0.2,0.6,5,MIXED,0,0,5,0,0.1226053639846743,0.2542857142857143,0.7431033234378394,0.1428571428571428,0.9762114257096415
0.25,0.05,0.4,0.0,5,QUIET,0,0,0,5,0.003076923076923,0.1,0.6360612109115104,0.0485714285714285,0.6916200009832227
0.25,0.25,0.4,0.0,5,MIXED,0,0,5,0,0.0984455958549222,0.4,0.8127515356915908,0.1257142857142857,0.6644742729658469
0.25,0.5,0.4,0.0,5,MIXED,0,0,5,0,0.1192660550458715,0.4457142857142857,0.8264856286369247,0.1628571428571428,0.7001797345658274
0.75,0.05,0.4,0.0,5,MIXED,0,0,5,0,0.0969162995594713,0.3514285714285714,0.8132862190812721,0.1314285714285714,0.8695616746488475
0.75,0.25,0.4,0.0,5,MIXED,0,0,5,0,0.1320754716981132,0.3685714285714285,0.7989295091900626,0.1514285714285714,0.9604508876812142
0.75,0.5,0.4,0.0,5,MIXED,0,0,5,0,0.1339285714285714,0.3685714285714285,0.8077337249143417,0.1571428571428571,0.96660420551987
0.95,0.05,0.4,0.0,5,MIXED,0,0,5,0,0.0912863070539419,0.3057142857142857,0.8020175012153622,0.1171428571428571,0.9636561167444273
0.95,0.25,0.4,0.0,5,MIXED,0,0,5,0,0.1219512195121951,0.2971428571428571,0.7699549323985979,0.1257142857142857,0.966962257964257
0.95,0.5,0.4,0.0,5,MIXED,0,0,5,0,0.1294117647058823,0.3,0.7921825437429653,0.1342857142857142,0.9703918072235198
0.25,0.05,0.4,0.2,5,QUIET,0,0,0,5,0.0,0.0857142857142857,0.6565452091767882,0.0485714285714285,0.6815998610443055
0.25,0.25,0.4,0.2,5,MIXED,0,0,5,0,0.0976744186046511,0.4057142857142857,0.8256392045454546,0.1228571428571428,0.7898077723451056
0.25,0.5,0.4,0.2,5,MIXED,0,0,5,0,0.1275510204081632,0.44,0.804583835946924,0.1628571428571428,0.7483243365133803
0.75,0.05,0.4,0.2,5,MIXED,0,0,5,0,0.0947867298578199,0.3514285714285714,0.834185303514377,0.14,0.9195337529114971
0.75,0.25,0.4,0.2,5,MIXED,0,0,5,0,0.1346153846153846,0.3571428571428571,0.8150419334475606,0.1571428571428571,0.9654124556395043
0.75,0.5,0.4,0.2,5,MIXED,0,0,5,0,0.1371681415929203,0.3628571428571429,0.79379115710254,0.1571428571428571,0.9658870681949416
0.95,0.05,0.4,0.2,5,MIXED,0,0,5,0,0.0891472868217054,0.3114285714285714,0.7884636235498211,0.1257142857142857,0.9671194028726241
