sigma,pi_reward,alpha,delta,mu_membership_reward,seed,final_fund_prevalence,final_exit_rate,max_punish,top5_punishment_share,top10_punishment_share,enforcer_punish_share,regime,run_dir
0.75,0.5,0.0,0.3,0.0,9,0.1473214285714285,0.36,0.1571428571428571,0.821608040201005,0.9743509212730318,0.9526420643631712,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6b_membership_sweep/mu_0.00/delta_0.30/sigma_0.75/pi_0.50/seed_09
0.75,0.5,0.0,0.3,0.0,10,0.1454545454545454,0.3714285714285714,0.1571428571428571,0.8193230425888042,0.9782406546401339,0.9647537969700407,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6b_membership_sweep/mu_0.00/delta_0.30/sigma_0.75/pi_0.50/seed_10
0.95,0.25,0.0,0.3,0.0,1,0.125,0.2914285714285714,0.1314285714285714,0.7496999353706952,0.9810728464592374,0.9722016149462063,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6b_membership_sweep/mu_0.00/delta_0.30/sigma_0.95/pi_0.25/seed_01
0.95,0.25,0.0,0.3,0.0,2,0.1146245059288537,0.2771428571428571,0.1314285714285714,0.7602329310490337,0.98210819478437,0.9743132478278915,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6b_membership_sweep/mu_0.00/delta_0.30/sigma_0.95/pi_0.25/seed_02
0.95,0.25,0.0,0.3,0.0,3,0.141025641025641,0.3314285714285714,0.1514285714285714,0.7786839145106862,0.9807836520434946,0.9695757333818006,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6b_membership_sweep/mu_0.00/delta_0.30/sigma_0.95/pi_0.25/seed_03
0.95,0.25,0.0,0.3,0.0,4,0.1269841269841269,0.28,0.12,0.7750591305766251,0.9816491313922192,0.9758416869117297,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6b_membership_sweep/mu_0.00/delta_0.30/sigma_0.95/pi_0.25/seed_04
0.95,0.25,0.0,0.3,0.0,5,0.1193415637860082,0.3057142857142857,0.1314285714285714,0.7918781725888325,0.9811691501555592,0.9736625978939448,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6b_membership_sweep/mu_0.00/delta_0.30/sigma_0.95/pi_0.25/seed_05
0.95,0.25,0.0,0.3,0.0,6,0.1274900398406374,0.2828571428571428,0.1457142857142857,0.7558379404241274,0.9834144731413483,0.9730998293691843,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6b_membership_sweep/mu_0.00/delta_0.30/sigma_0.95/pi_0.25/seed_06
0.95,0.25,0.0,0.3,0.0,7,0.1323529411764706,0.2228571428571428,0.1342857142857142,0.7488184705973503,0.9807081428682111,0.9724765756007017,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6b_membership_sweep/mu_0.00/delta_0.30/sigma_0.95/pi_0.25/seed_07
0.95,0.25,0.0,0.3,0.0,8,0.1275720164609053,0.3057142857142857,0.1342857142857142,0.7548918640576725,0.9829213868863714,0.9724487871212335,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6b_membership_sweep/mu_0.00/delta_0.30/sigma_0.95/pi_0.25/seed_08
