punish_floor,seed,regime_hier,final_delta,median_exit_rate,final_fund_prevalence,max_punish
0.1,23,MIXED,0.9999999999999996,0.1457142857142857,0.1137123745819397,0.1571428571428571
0.1,24,MIXED,0.9999999999999996,0.1342857142857142,0.1188118811881188,0.1571428571428571
0.1,25,MIXED,0.9999999999999996,0.1514285714285714,0.1111111111111111,0.1314285714285714
0.1,26,MIXED,0.9999999999999996,0.1428571428571428,0.0966666666666666,0.14
0.1,27,MIXED,0.9999999999999996,0.1,0.1047619047619047,0.1657142857142857
0.1,28,MIXED,0.9999999999999996,0.1742857142857143,0.1072664359861591,0.1228571428571428
0.1,29,MIXED,0.9999999999999996,0.1457142857142857,0.1070234113712374,0.1457142857142857
0.1,30,MIXED,0.9999999999999996,0.14,0.1063122923588039,0.1371428571428571
0.12,1,MIXED,0.47512,0.3971428571428571,0.1137440758293838,0.1142857142857142
0.12,2,MIXED,0.352,0.4485714285714285,0.1191709844559585,0.1228571428571428
0.12,3,MIXED,0.9027386763275446,0.3628571428571429,0.1345291479820627,0.1285714285714285
0.12,4,MIXED,0.8169856603603121,0.4685714285714286,0.1397849462365591,0.1142857142857142
0.12,5,MIXED,0.8169856603603121,0.4085714285714286,0.144927536231884,0.1171428571428571
0.12,6,MIXED,0.47512,0.4657142857142857,0.1497326203208556,0.1114285714285714
0.12,7,MIXED,0.352,0.4685714285714286,0.1559139784946236,0.1142857142857142
0.12,8,MIXED,0.2,0.3485714285714286,0.1052631578947368,0.1114285714285714
0.12,9,MIXED,0.5276080000000001,0.3771428571428571,0.1330275229357798,0.1142857142857142
0.12,10,MIXED,0.352,0.3742857142857143,0.1187214611872146,0.1228571428571428
0.12,11,MIXED,0.352,0.3771428571428571,0.1146788990825688,0.1171428571428571
0.12,12,MIXED,0.7966507337336801,0.46,0.1587301587301587,0.1314285714285714
0.12,13,MIXED,0.8517583848918527,0.4057142857142857,0.125,0.14
0.12,14,MIXED,0.9999956249948104,0.2457142857142857,0.1212121212121212,0.1257142857142857
0.12,15,MIXED,0.6900636088000002,0.3714285714285714,0.1227272727272727,0.1314285714285714
